[2023-11-28 15:58:02.706] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.559876@37962.9, ask=0.5602@38003.148, ts=2023-11-28 21:58:02.849671+00:00)
[2023-11-28 15:58:02.709] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.559876@37962.9, ask=0.280493@38011.392, ts=2023-11-28 21:58:02.850009+00:00)
[2023-11-28 15:58:02.710] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.559876@37962.9, ask=0.28041@38000.9, ts=2023-11-28 21:58:02.850508+00:00)
[2023-11-28 15:58:04.149] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.3932@2054.81, ask=8.68877@2056.0, ts=2023-11-28 21:58:04.083434+00:00)
[2023-11-28 15:58:04.158] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.3932@2054.81, ask=4.365@2055.74, ts=2023-11-28 21:58:04.083479+00:00)
[2023-11-28 15:58:04.162] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.335@2054.52, ask=4.365@2055.74, ts=2023-11-28 21:58:04.084076+00:00)
[2023-11-28 15:58:23.915] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.55622@37965.3, ask=0.28041@38000.9, ts=2023-11-28 21:58:24.043741+00:00)
[2023-11-28 15:58:23.918] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.55622@37965.3, ask=1.12203@38031.7, ts=2023-11-28 21:58:24.044292+00:00)
[2023-11-28 15:58:23.920] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.55622@37965.3, ask=0.5557@38019.1, ts=2023-11-28 21:58:24.044302+00:00)
[2023-11-28 15:58:23.922] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.2786@37969.6, ask=0.5557@38019.1, ts=2023-11-28 21:58:24.044813+00:00)
[2023-11-28 15:58:23.924] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.2786@37969.6, ask=0.27853@38013.32, ts=2023-11-28 21:58:24.044847+00:00)
[2023-11-28 15:58:40.082] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.2786@37969.6, ask=0.28@38013.29, ts=2023-11-28 21:58:40.215316+00:00)
[2023-11-28 15:58:40.086] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.276@37986.34, ask=0.28@38013.29, ts=2023-11-28 21:58:40.215332+00:00)
[2023-11-28 15:58:40.241] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.335@2054.52, ask=8.7649@2057.811, ts=2023-11-28 21:58:40.362771+00:00)
[2023-11-28 15:58:40.244] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.335@2054.52, ask=4.345@2056.7, ts=2023-11-28 21:58:40.362812+00:00)
[2023-11-28 15:58:40.245] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=13.1641@2053.298, ask=4.345@2056.7, ts=2023-11-28 21:58:40.363010+00:00)
